TokensAlign  ;MOT          ;MOT N.;CONTEXT N.;FONEMA ANTERIOR;FONEMA POSTERIOR;SIMETRIA;SÍL·LABA (tipus);SÍL·LABA (posició);PROSÒDIA (tipus);PROSÒDIA (posició);TEST
roig         ;roig         ;13    ;11        ;r              ;t͡ʃ             ;A       ;T               ;SF                ;Dec             ;PF                ;T2
pepa         ;Pepa         ;14    ;1         ;p              ;p               ;S       ;O               ;SI                ;Dec             ;PF                ;T1
carter       ;carter       ;15    ;7         ;t              ;#               ;A       ;O               ;SF                ;Dec             ;PF                ;T1
carters      ;carters      ;15    ;7         ;t              ;s               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
papa         ;Papa         ;16    ;1         ;p              ;p               ;S       ;O               ;SI                ;Dec             ;PF                ;T1
quico        ;quico        ;17    ;2         ;k              ;k               ;S       ;O               ;SI                ;Dec             ;PF                ;T1
buda         ;buda         ;18    ;3         ;b              ;ð               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
crosta       ;crosta       ;19    ;10        ;ɾ              ;s               ;S       ;T               ;SI                ;Dec             ;PF                ;T2
coca         ;coca         ;20    ;2         ;k              ;k               ;S       ;O               ;SI                ;Dec             ;PF                ;T1
coques       ;coques       ;20    ;2         ;k              ;k               ;S       ;O               ;SI                ;Dec             ;PF                ;T1
vessa        ;vessa        ;21    ;3         ;b              ;s               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
taronja      ;taronja      ;22    ;11        ;tɾ             ;ɲ               ;A       ;T               ;SI/SM             ;Dec             ;PF                ;T2
patata       ;patata       ;23    ;4         ;t              ;t               ;S       ;O               ;SM                ;Dec             ;PF                ;T1
